"","거주지","성별","나이","혼인상태","주관적만족감","건강평가","흡연여부","음주여부","가정생활스트레스","일상생활스트레스","자살충동여부","자살충동이유","본인경제활동여부","배우자경제활동여부","가구소득"
"37904","세종","남자",19,1,3,3,1,1,2,2,2,NA,2,NA,5
"37905","세종","남자",48,2,5,5,1,1,4,2,2,NA,1,2,5
"37906","세종","여자",47,2,1,2,2,2,4,4,2,NA,2,NA,5
"37907","세종","남자",19,1,1,2,1,1,3,2,2,NA,2,NA,5
"37908","세종","남자",13,1,2,2,2,2,3,3,2,NA,2,NA,5
"37909","세종","여자",83,3,3,5,2,2,3,3,2,NA,2,NA,5
"37910","세종","남자",59,2,1,2,2,1,3,2,2,NA,2,1,4
"37911","세종","여자",53,2,1,3,2,2,1,2,1,3,1,NA,4
"37912","세종","남자",38,2,1,2,1,1,2,2,2,NA,1,1,8
"37913","세종","여자",36,2,2,2,2,1,3,3,2,NA,1,NA,8
"37914","서울","남자",44,2,2,2,1,1,4,3,2,NA,1,2,2
"37915","서울","여자",43,2,2,2,2,1,2,2,2,NA,2,NA,2
"37918","세종","남자",47,2,3,3,2,1,3,2,2,NA,1,2,5
"37919","세종","여자",44,2,3,3,2,1,2,2,2,NA,2,NA,5
"37920","세종","남자",17,1,1,1,2,2,3,3,1,1,2,NA,5
"37922","세종","남자",61,2,1,1,2,1,4,3,2,NA,1,2,8
"37923","세종","여자",58,2,3,2,2,2,3,3,2,NA,2,NA,8
"37924","세종","남자",34,1,1,2,1,2,4,3,2,NA,1,NA,8
"37925","세종","남자",24,1,1,1,2,1,4,4,2,NA,2,NA,8
"37926","세종","남자",45,2,3,3,1,1,1,2,2,NA,1,2,6
"37927","세종","여자",42,2,3,3,2,1,1,2,2,NA,2,NA,6
"37928","세종","여자",16,1,2,1,2,2,1,2,2,NA,2,NA,6
"37930","세종","남자",34,2,2,2,2,1,3,3,2,NA,1,1,6
"37931","세종","여자",35,2,2,1,2,1,3,3,2,NA,1,NA,6
"37933","세종","남자",39,2,2,3,2,1,3,2,2,NA,1,1,3
"37934","세종","여자",36,2,2,3,2,1,2,2,2,NA,1,NA,3
"37937","세종","남자",36,2,2,1,2,1,4,4,2,NA,1,2,4
"37938","세종","여자",34,2,2,2,2,2,4,3,2,NA,2,NA,4
"37940","세종","남자",36,2,2,3,1,1,2,2,2,NA,1,1,5
"37941","세종","여자",36,2,2,3,2,2,1,1,2,NA,1,NA,5
"37943","세종","여자",56,2,3,3,2,2,3,3,2,NA,1,1,4
"37944","세종","남자",54,2,5,3,2,1,2,2,2,NA,1,1,4
"37945","세종","여자",48,2,2,3,2,1,2,3,2,NA,1,NA,4
"37946","세종","여자",20,1,2,2,2,1,3,2,2,NA,1,NA,4
"37947","세종","여자",47,1,3,4,2,2,3,2,2,NA,1,NA,3
"37948","서울","여자",82,3,2,3,2,2,3,3,2,NA,2,NA,4
"37949","세종","남자",35,1,1,1,2,1,4,3,2,NA,2,NA,2
"37950","세종","남자",44,2,3,3,2,1,2,2,2,NA,2,2,4
"37951","세종","여자",37,2,3,3,2,2,2,2,2,NA,2,NA,4
"37954","세종","남자",42,1,2,3,2,1,3,3,2,NA,1,NA,4
"37955","세종","여자",36,2,1,2,2,1,4,2,2,NA,2,1,5
"37956","세종","남자",36,2,1,1,2,1,3,3,2,NA,1,NA,5
"37958","세종","남자",38,2,3,2,1,1,3,2,2,NA,1,1,4
"37959","세종","여자",38,2,2,2,2,1,2,2,2,NA,1,NA,4
"37962","세종","남자",37,2,1,2,2,1,1,2,2,NA,1,2,8
"37963","세종","여자",37,2,3,2,2,2,1,2,2,NA,2,NA,8
"37966","세종","여자",51,1,2,2,2,1,2,2,2,NA,1,NA,6
"37967","세종","남자",45,2,2,3,1,2,3,3,2,NA,1,1,8
"37968","세종","여자",49,2,3,3,2,2,1,2,2,NA,1,NA,8
"37969","세종","남자",16,1,2,3,2,2,3,3,2,NA,2,NA,8
"37970","세종","남자",13,1,1,1,2,2,3,4,2,NA,2,NA,8
"37971","세종","남자",42,4,3,4,1,1,2,2,2,NA,1,NA,3
"37972","세종","남자",15,1,3,4,2,2,2,2,2,NA,2,NA,3
"37973","세종","남자",50,2,4,3,1,2,1,2,2,NA,1,1,8
"37974","세종","여자",46,2,4,4,2,2,1,2,1,6,1,NA,8
"37975","세종","남자",15,1,3,2,2,2,3,3,2,NA,2,NA,8
"37976","서울","남자",54,2,2,3,2,1,4,3,2,NA,1,1,6
"37977","서울","여자",48,2,2,2,2,2,3,2,2,NA,1,NA,6
"37978","서울","남자",23,1,3,2,2,1,3,2,2,NA,1,NA,6
"37979","세종","남자",40,2,5,3,1,1,1,2,1,6,1,1,6
"37980","세종","남자",43,2,2,2,2,1,3,3,2,NA,1,2,4
"37981","세종","여자",43,2,4,3,2,2,2,2,2,NA,2,NA,4
"37983","세종","남자",62,2,2,2,2,1,2,3,2,NA,2,2,8
"37984","세종","여자",60,2,3,3,2,1,2,2,2,NA,2,NA,8
"37985","세종","여자",34,1,3,2,2,1,3,2,2,NA,1,NA,8
"37986","세종","남자",35,2,1,2,2,1,4,4,2,NA,1,2,7
"37987","세종","여자",36,2,2,2,2,1,2,3,2,NA,2,NA,7
"37989","세종","남자",42,2,1,3,2,2,4,3,2,NA,1,2,7
"37990","세종","여자",40,2,1,2,2,1,4,2,2,NA,2,NA,7
"37993","세종","남자",79,2,1,3,1,2,2,2,2,NA,2,2,2
"37994","세종","여자",69,2,2,3,2,2,2,2,2,NA,2,NA,2
"37995","세종","남자",38,1,5,4,1,2,1,1,1,3,2,NA,2
"37996","세종","남자",70,2,4,4,2,2,1,1,2,NA,1,NA,2
"37997","세종","여자",72,2,4,5,2,2,1,1,1,3,2,NA,2
"37998","세종","남자",35,2,1,2,2,1,3,2,2,NA,1,2,4
"37999","세종","여자",36,2,1,2,2,2,3,3,2,NA,2,NA,4
"38002","세종","남자",47,2,3,3,2,2,3,3,2,NA,1,1,4
"38003","세종","여자",44,2,4,3,2,2,2,2,1,5,1,NA,4
"38005","세종","남자",38,2,3,3,1,1,2,2,2,NA,1,1,7
"38006","세종","여자",35,2,3,2,2,1,3,2,2,NA,1,NA,7
"38009","서울","남자",50,2,4,3,1,1,2,2,2,NA,1,1,4
"38010","세종","남자",42,2,2,3,2,1,3,3,2,NA,1,1,6
"38011","세종","여자",40,2,2,2,2,2,3,3,2,NA,1,NA,6
"38013","세종","남자",49,2,1,2,1,1,3,3,2,NA,1,1,8
"38014","세종","여자",47,2,1,3,2,1,4,3,2,NA,1,NA,8
"38017","세종","남자",44,2,3,3,1,1,2,2,2,NA,1,1,6
"38018","세종","여자",45,2,1,1,2,1,2,3,2,NA,1,NA,6
"38019","세종","남자",14,1,1,1,2,2,1,1,2,NA,2,NA,6
"38020","세종","남자",43,2,3,2,2,1,2,2,2,NA,1,2,5
"38021","세종","여자",43,2,3,3,2,1,2,2,2,NA,2,NA,5
"38025","세종","여자",80,2,3,5,2,2,3,3,2,NA,2,NA,5
"38026","세종","남자",41,2,2,2,2,1,3,2,2,NA,1,1,6
"38027","세종","여자",39,2,2,2,2,1,2,2,2,NA,1,NA,6
"38030","세종","남자",44,2,4,4,1,1,2,2,2,NA,1,1,4
"38031","세종","여자",43,2,5,4,2,1,1,1,2,NA,1,NA,4
"38033","세종","남자",57,2,3,2,2,1,3,4,2,NA,2,2,4
"38034","세종","여자",55,2,2,3,2,2,2,3,2,NA,2,NA,4
"38035","세종","여자",53,3,5,3,2,1,1,2,2,NA,1,NA,1
"38036","세종","남자",25,1,5,4,1,1,2,1,1,1,1,NA,1
"38037","세종","여자",23,1,1,2,2,2,2,2,2,NA,2,NA,1
"38038","세종","남자",57,2,2,3,2,1,3,3,2,NA,1,2,5
"38039","세종","여자",53,2,2,3,2,2,3,2,2,NA,2,NA,5
"38040","세종","남자",31,2,2,3,1,1,3,3,2,NA,1,2,4
"38041","세종","여자",31,2,2,1,2,1,3,3,2,NA,2,NA,4
"38044","서울","남자",35,1,3,2,1,1,2,2,1,4,1,NA,8
"38045","세종","남자",49,2,1,2,2,2,4,3,2,NA,1,2,5
"38046","세종","여자",49,2,3,2,2,2,4,4,2,NA,2,NA,5
"38047","세종","남자",18,1,2,2,2,2,4,3,2,NA,2,NA,5
"38049","세종","남자",50,2,3,3,2,1,3,3,2,NA,1,2,5
"38050","세종","여자",44,2,3,3,2,1,3,3,2,NA,2,NA,5
"38051","세종","여자",15,1,2,2,2,2,3,3,2,NA,2,NA,5
"38052","세종","남자",45,2,2,3,2,1,3,2,2,NA,1,1,5
"38053","세종","여자",38,2,3,3,2,1,3,3,2,NA,1,NA,5
"38054","세종","여자",14,1,2,2,2,2,2,2,2,NA,2,NA,5
"38055","세종","여자",44,2,3,2,2,1,2,2,2,NA,1,1,4
"38056","세종","남자",44,2,3,2,2,1,3,3,1,1,1,NA,4
"38059","세종","남자",38,2,2,3,2,1,2,2,2,NA,1,1,6
"38060","세종","여자",37,2,2,3,2,1,3,3,1,5,1,NA,6
"38061","세종","남자",47,2,2,2,2,1,3,3,2,NA,1,1,8
"38062","세종","여자",44,2,2,2,2,1,3,3,2,NA,1,NA,8
"38063","세종","여자",14,1,2,2,2,2,2,2,2,NA,2,NA,8
"38064","세종","남자",62,2,3,3,2,2,3,3,2,NA,1,1,1
"38065","세종","여자",62,2,3,3,2,1,3,3,2,NA,1,NA,1
"38066","세종","남자",42,2,3,1,1,1,2,2,2,NA,1,1,4
"38067","세종","남자",40,2,2,3,2,1,3,2,2,NA,1,1,6
"38068","세종","여자",38,2,1,1,2,1,2,2,2,NA,1,NA,6
"38071","세종","남자",55,2,2,2,2,1,3,3,2,NA,2,2,5
"38072","세종","여자",51,2,3,2,2,1,2,2,2,NA,2,NA,5
"38073","세종","남자",27,1,2,1,2,1,3,3,2,NA,2,NA,5
"38074","서울","남자",48,2,1,2,2,2,3,3,2,NA,1,1,7
"38075","서울","여자",45,2,2,2,2,2,3,3,2,NA,1,NA,7
"38078","서울","남자",64,2,3,2,2,1,2,2,2,NA,1,2,6
"38079","서울","여자",57,2,2,2,2,2,2,2,2,NA,2,NA,6
"38080","서울","남자",37,2,2,2,2,1,3,3,2,NA,1,NA,6
"38081","서울","여자",31,2,2,2,2,1,2,2,2,NA,1,NA,6
"38083","서울","남자",58,1,4,4,1,1,2,2,2,NA,2,NA,1
